nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19458310,756102,América
Colombia,51049498,1141748,América
México,130262216,1964375,América
Perú,33359418,1285216,América
Uruguay,3473730,176215,América
Paraguay,7353038,406752,América
Estados Unidos,331000000,9833517,América
Canadá,38246108,9984670,América
Alemania,83149300,357022,Europa
Francia,67413000,643801,Europa
España,47431256,505990,Europa
Italia,59554023,301340,Europa
Reino Unido,67886011,243610,Europa
Portugal,10347892,92212,Europa
Polonia,38386000,312696,Europa
Japón,125800000,377975,Asia
China,1412600000,9596960,Asia
India,1380004385,3287263,Asia
Corea del Sur,51780579,100210,Asia
Indonesia,273523615,1904569,Asia
Turquía,84339067,783562,Asia
Nigeria,211400708,923768,África
Sudáfrica,60041994,1219090,África
Egipto,104258327,1001449,África
Etiopía,117876227,1104300,África
Australia,25499884,7692024,Oceanía
Nueva Zelanda,5084300,270467,Oceanía
Marruecos,37344795,446550,África
